actonId,beginDate,countyName,elevation,endDate,fipsCountryCd,fipsCountyCd,fipsStateNumber,huc,hud,latitude,longitude,name,shefId,stationDataTimeZone,stationTimeZone,stationTriplet,START_Date
SC2057,2002-02-23 13:00:00,Madison,860.00,2100-01-01 00:00:00,US,089,01,060300020403,06030002,34.78333,-86.55000,AAMU-JTG,AAMA1,-6.0,,2057:AL:SCAN,2002-02-23
SC2078,2003-08-25 00:00:00,Madison,798.00,2100-01-01 00:00:00,US,089,01,060300020306,06030002,34.89375,-86.60236,Bragg Farm,BRAA1,-6.0,,2078:AL:SCAN,2003-08-25
SC2177,2010-04-12 00:00:00,Montgomery,269.00,2100-01-01 00:00:00,US,101,01,031501100803,03150110,32.28393,-86.05253,Broad Acres,BDAA1,-6.0,,2177:AL:SCAN,2010-04-12
SC2113,2006-05-16 00:00:00,Cullman,799.00,2100-01-01 00:00:00,US,043,01,031601090104,03160109,34.19492,-86.79897,Cullman-NAHRC,CNSA1,-6.0,,2113:AL:SCAN,2006-05-16
SC2174,2010-04-09 00:00:00,Pickens,160.00,2100-01-01 00:00:00,US,107,01,031601060504,03160106,33.10768,-88.31003,Dee River Ranch,DEEA1,-6.0,,2174:AL:SCAN,2010-04-09
SC2055,2002-02-23 00:00:00,Marshall,730.00,2100-01-01 00:00:00,US,095,01,060300010705,06030001,34.44480,-86.16557,Hodges,HDGA1,-6.0,,2055:AL:SCAN,2002-02-23
SC2173,2010-04-08 00:00:00,Colbert,603.00,2100-01-01 00:00:00,US,033,01,060300051002,06030005,34.81982,-87.98685,Isbell Farms,ISBA1,-6.0,,2173:AL:SCAN,2010-04-08
SC2180,2010-05-07 00:00:00,Baldwin,135.00,2100-01-01 00:00:00,US,003,01,031602050202,03140106,30.52380,-87.69797,Koptis Farms,KOPA1,-6.0,,2180:AL:SCAN,2010-05-07
SC2114,2006-05-17 00:00:00,Sumter,144.00,2100-01-01 00:00:00,US,119,01,031602020404,03160202,32.60800,-88.19743,Livingston-UWA,LVSA1,-6.0,,2114:AL:SCAN,2006-05-17
SC2178,2010-04-13 00:00:00,Macon,220.00,2100-01-01 00:00:00,US,087,01,031501100504,03150110,32.41222,-85.91028,Morris Farms,MRSA1,-6.0,,2178:AL:SCAN,2010-04-13
SC2181,2010-05-08 00:00:00,Escambia,299.00,2100-01-01 00:00:00,US,053,01,031401060101,03140106,31.10923,-87.55277,Perdido Riv Farms,PRDA1,-6.0,,2181:AL:SCAN,2010-05-08
SC2182,2010-05-09 00:00:00,Houston,107.00,2100-01-01 00:00:00,US,069,01,031300040801,03130004,31.01912,-85.03693,River Road Farms,RVRA1,-6.0,,2182:AL:SCAN,2010-05-09
SC2176,2010-04-11 00:00:00,Dallas,140.00,2100-01-01 00:00:00,US,047,01,031502011205,03150202,32.40392,-86.89137,Selma,SMAA1,-6.0,,2176:AL:SCAN,2010-04-11
SC2056,2002-02-23 13:00:00,Morgan,635.00,2100-01-01 00:00:00,US,103,01,060300020605,06030002,34.43333,-86.68333,Stanley Farm,STAA1,-6.0,,2056:AL:SCAN,2002-02-23
SC2179,2010-04-14 00:00:00,Winston,772.00,2100-01-01 00:00:00,US,133,01,031601100303,03160110,34.17973,-87.45618,Sudduth Farms,SUDA1,-6.0,,2179:AL:SCAN,2010-04-14
SC2115,2006-05-18 00:00:00,Macon,400.00,2100-01-01 00:00:00,US,087,01,031501100503,03150110,32.43455,-85.74802,Tuskegee,TKSA1,-6.0,,2115:AL:SCAN,2006-05-18
SC2175,2010-04-10 00:00:00,Randolph,934.00,2100-01-01 00:00:00,US,111,01,031501080906,03150108,33.33168,-85.51818,Wedowee,WEDA1,-6.0,,2175:AL:SCAN,2010-04-10
SC2053,2002-02-04 00:00:00,Madison,625.00,2100-01-01 00:00:00,US,089,01,060300020306,06030002,34.90000,-86.53333,Wtars,WTAA1,-6.0,,2053:AL:SCAN,2002-02-04
